"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Bromley 008F",25,1,0,11,331
"Bromley 008G",48,4,0,11,171
"Bromley 009A",65,2,0,23,297
"Bromley 009B",48,2,0,14,294
"Bromley 009C",115,0,1,13,71
"Bromley 009D",41,1,3,12,121
"Bromley 009E",81,4,0,34,27
"Bromley 009F",33,1,0,14,334
"Bromley 010A",40,0,0,22,318
"Bromley 010B",13,1,0,5,346
"Bromley 010C",23,0,1,13,225
"Bromley 010D",52,0,1,22,127
"Bromley 011A",20,0,0,20,376
"Bromley 011B",19,1,0,26,320
"Bromley 011C",15,0,0,4,365
"Bromley 011D",14,0,1,5,301
"Bromley 011E",12,0,0,9,369
"Bromley 012A",35,1,1,21,147
"Bromley 012B",22,0,0,23,339
"Bromley 012C",26,0,0,10,351
"Bromley 012D",11,1,0,1,343
"Bromley 012E",3,0,0,9,388
"Bromley 013A",20,0,0,13,372
"Bromley 013B",2,0,0,7,387
"Bromley 013C",38,1,0,15,334
"Bromley 013D",32,1,1,14,226
"Bromley 013E",39,5,0,20,236
"Bromley 014A",39,0,0,25,319
"Bromley 014B",75,2,0,22,278
"Bromley 014C",39,0,2,9,241
"Bromley 014D",65,3,2,34,45
"Bromley 014E",27,2,1,22,166
"Bromley 015A",18,0,0,12,372
"Bromley 015B",10,1,0,1,343
"Bromley 015C",16,1,0,24,380
"Bromley 015D",36,0,1,9,266
"Bromley 015E",30,1,0,21,358
"Bromley 016A",21,1,0,9,350
"Bromley 016B",19,1,0,4,326
"Bromley 016C",12,3,0,8,212
"Bromley 016D",6,0,0,8,388
"Bromley 016E",25,1,0,9,331
"Bromley 018A",10,3,1,5,282
"Bromley 018B",93,11,5,21,62
"Bromley 018C",112,4,2,17,72
"Bromley 018D",9,0,0,13,393
"Bromley 018E",13,0,0,4,365
"Bromley 019A",73,0,0,40,240
"Bromley 019B",38,0,1,22,126
"Bromley 019C",33,1,1,20,147
"Bromley 019D",40,0,0,35,220
"Bromley 019E",55,3,0,58,139
"Bromley 020A",17,0,0,7,348
"Bromley 020B",51,1,2,24,144
"Bromley 020C",12,2,0,6,325
"Bromley 020D",18,3,0,8,212
"Bromley 020E",11,0,0,4,365
"Bromley 021A",6,0,0,6,387
"Bromley 021B",16,1,0,7,348
"Bromley 021C",5,1,0,6,387
"Bromley 021D",7,0,0,5,386
"Bromley 021E",4,0,0,2,383
"Bromley 022A",10,0,0,11,391
"Bromley 022B",3,1,1,6,301
"Bromley 022C",47,3,0,13,170
"Bromley 022D",5,0,0,9,388
"Bromley 023A",62,1,0,36,240
"Bromley 023B",59,3,0,31,239
"Bromley 023C",12,0,0,23,380
"Bromley 023D",13,0,0,10,370
"Bromley 023E",74,0,0,31,259
"Bromley 024A",15,0,0,4,365
"Bromley 024B",11,1,0,11,371
"Bromley 024C",36,4,1,17,187
"Bromley 024D",14,1,0,10,371
"Bromley 024E",16,0,0,16,375
"Bromley 025A",10,0,0,7,367
"Bromley 025C",11,0,0,7,367
"Bromley 025D",19,1,0,6,326
"Bromley 025E",6,0,0,5,386
"Bromley 026A",103,2,1,21,70
"Bromley 026B",30,1,0,19,357
"Bromley 026C",68,2,0,10,250
"Bromley 026D",38,2,0,8,231
"Bromley 027A",19,0,1,9,265
"Bromley 027B",31,0,0,6,309
"Bromley 027C",3,0,0,1,362
"Bromley 027D",17,0,0,5,347
"Bromley 027E",6,0,0,0,363
"Bromley 028A",51,0,1,21,127
"Bromley 028B",16,0,0,5,347
"Bromley 028C",197,5,5,31,3
"Bromley 028D",32,2,0,14,253
"Bromley 028E",6,0,0,14,393
"Bromley 029A",3,0,0,6,387
"Bromley 029B",27,0,0,18,356
"Bromley 029C",30,0,0,12,312
"Bromley 029D",17,1,0,22,379
"Bromley 029E",17,0,0,15,394
"Bromley 030A",12,2,0,0,343
"Bromley 030B",66,3,2,16,162
"Bromley 030C",4,0,0,5,386
"Bromley 030D",9,1,1,10,264
"Bromley 030E",9,0,0,8,368
"Bromley 030F",19,0,0,4,327
"Bromley 030G",15,0,0,9,369
"Bromley 030H",11,0,0,10,370
"Bromley 031A",4,0,0,4,385
"Bromley 031B",18,0,0,8,349
"Bromley 031C",10,0,0,2,363
"Bromley 031D",15,0,0,2,364
"Bromley 031E",7,0,0,3,384
"Bromley 032A",47,1,0,9,290
"Bromley 032B",72,2,0,20,277
"Bromley 032C",53,0,0,15,316
"Bromley 032D",13,0,0,2,364
"Bromley 032E",42,0,0,10,291
"Bromley 033A",11,1,0,14,373
"Bromley 033B",20,0,0,10,351
"Bromley 033C",13,0,0,3,364
"Bromley 033D",24,1,1,8,285
"Bromley 034A",27,0,0,13,333
"Bromley 034B",16,1,0,5,346
"Bromley 034C",9,0,0,9,369
"Bromley 034D",21,2,0,11,233
"Bromley 034E",43,0,0,5,289
"Bromley 035A",7,0,1,7,301
"Bromley 035B",8,0,0,6,366
"Bromley 035C",13,1,0,3,344
"Bromley 035D",15,0,0,7,348
"Bromley 035E",6,0,0,3,384
"Bromley 036B",27,0,0,6,328
"Bromley 036C",43,1,0,12,272
"Bromley 036D",48,0,0,5,269
"Bromley 037A",6,0,0,9,388
"Bromley 037B",46,2,0,6,231
"Bromley 037C",5,0,0,10,391
"Bromley 037D",7,0,0,6,387
"Bromley 037E",3,0,1,9,284
"Bromley 039A",3,0,0,8,388
"Bromley 039B",14,0,0,10,370
"Bromley 039C",19,0,2,12,243
"Bromley 039D",19,0,0,8,349
"Bromley 039E",14,0,0,7,348
"Bromley 040A",6,1,0,4,385
"Bromley 040B",31,0,0,16,335
"Bromley 040C",47,0,0,14,315
"Bromley 040D",45,3,0,11,191
"Bromley 040E",14,1,0,20,399
"Bromley 041A",8,1,0,9,389
"Bromley 041B",66,1,0,13,130
"Bromley 041C",16,2,0,8,232
"Bromley 041D",27,2,1,9,283
"Bromley 041E",36,6,1,16,188
"Bromley 042A",16,0,0,3,364
"Bromley 042B",59,0,1,14,149
"Bromley 042C",7,0,0,10,391
"Bromley 042D",9,0,0,9,369
"Broxbourne 013C",1,0,0,0,381
"Camden 001A",43,4,0,18,255
"Camden 001B",19,2,0,9,232
"Camden 001C",21,4,0,30,198
"Camden 001D",53,9,0,27,238
"Camden 001E",36,6,1,52,159
"Camden 002A",17,2,0,29,320
"Camden 002B",38,0,1,19,148
"Camden 002C",15,3,0,11,212
"Camden 002D",57,3,0,13,170
"Camden 002E",15,0,0,67,140
"Camden 003A",24,4,1,29,106
"Camden 003B",52,3,0,15,275
"Camden 003C",81,13,0,12,114
"Camden 003D",20,0,0,15,354
"Camden 003E",64,11,0,20,135
"Camden 004A",5,1,0,11,390
"Camden 004B",83,1,0,22,278
"Camden 004C",2,2,0,28,340
"Camden 004D",13,0,0,26,340
"Camden 004E",9,0,0,17,396
"Camden 005A",35,3,0,37,219
"Camden 005B",50,1,1,45,180
"Camden 005C",15,6,0,22,196
"Camden 005D",57,0,0,16,316
"Camden 005E",44,2,0,13,294
"Camden 006A",15,1,0,18,377
"Camden 006B",61,4,0,12,170
"Camden 006C",78,2,0,14,130
"Camden 006D",38,3,0,17,255
"Camden 006E",17,4,0,18,214
"Camden 007A",28,1,0,10,331
"Camden 007B",52,1,0,7,270
"Camden 007C",78,1,2,13,161
"Camden 007D",57,8,1,18,156
"Camden 007E",123,2,1,15,71
"Camden 007F",128,7,1,25,28
"Camden 008A",14,3,2,31,105
"Camden 008B",11,0,0,21,400
"Camden 008C",101,4,0,21,257
"Camden 008D",34,4,1,14,207
"Camden 008E",40,11,2,34,157
"Camden 009A",22,3,1,14,207
"Camden 009B",42,1,0,19,336
"Camden 009C",7,3,0,7,325
"Camden 009D",57,3,1,7,248
"Camden 009E",60,8,0,16,152
"Camden 010A",9,2,0,15,234
"Camden 010B",61,3,0,11,170
"Camden 010C",16,2,0,15,234
"Camden 010D",66,4,1,18,109
"Camden 010E",72,7,1,36,46
"Camden 011A",24,3,0,26,216
"Camden 011B",13,2,0,15,234
"Camden 011C",41,3,0,25,237
"Camden 011D",17,0,0,12,372
"Camden 012A",70,8,1,17,92
"Camden 012B",31,3,2,12,202
"Camden 012C",95,12,4,25,54
"Camden 012D",92,6,0,12,131
"Camden 012E",55,3,0,25,237
"Camden 013A",47,1,0,19,317
"Camden 013B",37,2,0,9,251
"Camden 013C",67,3,2,23,144
"Camden 013D",41,0,0,20,317
"Camden 013E",15,2,1,13,264
"Camden 014A",57,4,0,13,170
"Camden 014B",65,4,0,17,151
"Camden 014C",13,3,0,16,214
"Camden 014D",32,6,1,24,176
"Camden 015A",33,5,2,21,163
"Camden 015B",45,6,2,40,158
"Camden 015C",122,2,1,23,70
"Camden 015D",39,7,0,17,152
"Camden 015E",52,6,0,25,237
"Camden 016A",11,6,0,33,198
"Camden 016B",28,5,1,17,187
"Camden 016C",37,5,0,36,218
"Camden 016D",5,3,0,14,213
"Camden 016E",12,6,0,13,194
"Camden 017A",30,4,0,15,254
"Camden 017B",47,4,0,15,275
"Camden 017C",73,17,1,16,95
"Camden 017D",31,0,1,12,245
"Camden 018A",20,3,0,15,254
"Camden 018B",213,13,6,32,2
"Camden 018C",53,7,1,30,46
"Camden 018D",30,3,2,14,202
"Camden 018E",123,8,1,22,28
"Camden 019A",129,12,2,16,75
"Camden 019B",58,13,1,18,114
"Camden 019C",44,8,3,8,122
"Camden 019D",82,11,1,29,136
"Camden 019E",60,1,0,10,250
"Camden 020A",40,5,1,9,208
"Camden 020B",80,9,1,24,47
"Camden 020C",101,3,1,26,70
"Camden 020D",8,3,1,8,283
"Camden 020E",83,5,1,19,92
"Camden 021A",394,16,12,31,1
"Camden 021B",117,11,0,20,112
"Camden 021C",352,23,4,27,14
"Camden 021D",94,6,2,17,72
"Camden 022A",89,7,0,14,131
"Camden 022B",115,29,1,22,56
"Camden 022C",68,8,1,3,209
"Camden 022D",156,5,0,36,6
"Camden 022E",218,17,1,25,12
"Camden 023A",42,2,0,4,288
"Camden 023B",200,10,3,22,33
"Camden 023C",39,1,0,10,251
"Camden 023D",25,4,1,5,303
"Camden 023E",50,2,2,1,261
"Camden 024A",25,11,0,10,154
"Camden 024B",156,9,6,29,23
"Camden 024C",260,12,0,32,12
"Camden 024D",32,4,0,9,192
"Camden 025A",70,12,0,8,114
"Camden 025B",38,10,0,13,154
"Camden 025C",67,8,1,11,209
"Camden 025D",95,6,0,16,131
"Camden 025E",34,6,0,12,172
"Camden 026A",387,56,6,36,39
"Camden 026B",188,11,1,27,8
"Camden 026C",232,21,2,24,12
"Camden 026D",71,61,3,24,38
"Camden 027A",71,10,2,5,93
"Camden 027D",126,15,1,26,75
"Camden 028A",179,38,2,47,58
"Camden 028C",247,41,40,97,20
"Camden 028D",362,48,4,55,39
"Croydon 001A",36,0,3,55,140
"Croydon 001B",17,0,1,21,146
"Croydon 001C",14,1,1,12,244
"Croydon 001D",46,1,0,23,318
"Croydon 001E",65,2,1,25,87
"Croydon 002A",22,0,0,20,376
"Croydon 002B",9,1,0,18,397
"Croydon 002C",44,1,1,29,86
"Croydon 002D",27,1,1,21,165
"Croydon 002E",10,1,0,37,200
"Croydon 003A",17,2,0,18,398
"Croydon 003B",17,1,0,23,379
"Croydon 003C",118,5,1,43,6
"Croydon 003D",34,1,1,21,147
"Croydon 004A",36,1,0,28,299
"Croydon 004B",25,1,0,19,357
"Croydon 004C",79,2,1,23,88
"Croydon 004D",54,1,1,24,87
"Croydon 004E",36,0,1,22,126
"Croydon 005A",46,0,0,16,315
"Croydon 005B",30,0,1,11,245
"Croydon 005C",127,0,0,22,90
"Croydon 005D",56,0,1,14,149
"Croydon 005E",29,2,0,11,252
"Croydon 006A",7,1,0,14,373
"Croydon 006B",21,2,0,18,377
"Croydon 006C",19,0,0,19,376
"Croydon 006D",39,0,0,13,314
"Croydon 006E",70,0,1,26,87
"Croydon 007A",101,7,1,9,92
"Croydon 007B",24,0,0,28,320
"Croydon 007C",34,1,1,20,147
"Croydon 007D",37,1,1,23,126
"Croydon 007E",45,0,0,17,316
"Croydon 008A",5,1,1,3,321
"Croydon 008B",41,0,0,21,318
"Croydon 008C",84,1,1,20,89
"Croydon 008D",59,1,2,31,65
"Croydon 008E",95,0,0,14,110
"Croydon 009A",38,0,0,24,319
"Croydon 009B",14,1,0,17,396
"Croydon 009C",9,0,0,21,400
"Croydon 009D",13,0,3,17,223
"Croydon 009E",16,0,1,22,146
"Croydon 009F",40,0,1,6,267
"Croydon 010A",60,2,3,27,64
"Croydon 010B",38,1,1,21,147
"Croydon 010C",7,0,0,7,367
"Croydon 010D",77,0,1,21,88
"Croydon 010E",107,6,4,18,73
"Croydon 011A",39,2,0,11,273
"Croydon 011B",21,0,0,18,376
"Croydon 011C",131,3,0,15,91
"Croydon 011D",62,1,1,19,128
"Croydon 011E",10,3,3,32,104
"Croydon 011F",30,1,1,11,245
"Croydon 013A",26,3,0,17,235
"Croydon 013B",102,2,1,38,26
"Croydon 013C",30,0,1,12,245
"Croydon 013D",55,3,3,18,143
"Croydon 013E",41,2,1,18,168
"Croydon 013F",38,2,0,18,337
"Croydon 014A",91,5,3,18,73
"Croydon 014B",47,0,2,19,145
"Croydon 014C",18,1,1,9,265
"Croydon 014D",65,2,1,17,109
"Croydon 014E",27,1,1,11,245
"Croydon 015A",58,0,2,14,182
"Croydon 015B",44,0,1,22,127
"Croydon 015C",50,3,5,26,63
"Croydon 015D",43,6,1,17,188
"Croydon 015E",59,0,0,8,270
"Croydon 016A",87,2,0,22,278
"Croydon 016B",24,0,0,15,355
"Croydon 016C",56,3,1,21,108
"Croydon 016D",36,0,0,9,311
"Croydon 016E",55,0,1,15,149
"Croydon 017A",24,0,0,16,355
"Croydon 017B",27,0,2,11,222
"Croydon 017C",42,4,0,15,275
"Croydon 017D",14,0,0,11,370
"Croydon 017E",27,4,0,17,254
"Croydon 018A",22,0,0,8,349
"Croydon 018B",17,0,0,14,354
"Croydon 018C",21,1,0,13,353
"Croydon 018D",21,1,2,11,242
"Croydon 018E",8,0,0,10,391
"Croydon 019A",162,0,1,4,31
"Croydon 019B",23,2,1,18,186
"Croydon 019C",32,1,0,6,309
"Croydon 019D",49,3,1,38,219
"Croydon 019E",40,1,0,14,293
"Croydon 020A",53,0,2,17,182
"Croydon 020B",92,4,3,28,49
"Croydon 020C",301,7,16,41,1
"Croydon 020D",92,3,1,13,129
"Croydon 020E",76,4,3,14,142
"Croydon 021A",14,0,1,9,284
"Croydon 021B",17,0,0,21,400
"Croydon 021C",31,0,2,20,145
"Croydon 021D",18,0,2,4,281
"Croydon 022A",56,2,2,16,182
"Croydon 022B",76,1,1,20,88
"Croydon 022C",69,4,1,9,229
"Croydon 022D",30,0,1,10,266
"Croydon 022E",9,0,1,15,204
"Croydon 022F",18,1,0,9,350
"Croydon 023A",10,0,1,13,244
"Croydon 023B",4,0,0,11,391
"Croydon 023C",54,1,2,35,65
"Croydon 023D",38,3,1,9,228
"Croydon 024A",250,11,3,47,34
"Croydon 024B",156,1,10,17,22
"Croydon 024C",35,1,1,14,226
"Croydon 024D",53,0,1,13,149
"Croydon 024E",48,2,0,10,231
"Croydon 025A",46,0,1,17,148
"Croydon 025B",48,1,0,12,271
"Croydon 025C",73,3,1,12,129
"Croydon 025D",24,0,1,12,245
"Croydon 026A",8,0,1,11,244
"Croydon 026B",40,0,1,12,246
"Croydon 026C",45,0,0,21,317
"Croydon 026D",7,0,1,14,244
"Croydon 026E",13,0,0,15,394
"Croydon 027B",458,19,13,50,1
"Croydon 027C",181,33,10,30,16
"Croydon 027D",39,2,1,7,267
"Croydon 027E",36,0,0,5,289
"Croydon 028A",98,4,2,17,72
"Croydon 028B",30,1,1,11,245
"Croydon 028C",33,1,0,20,358
"Croydon 028D",163,4,2,32,9
"Croydon 028E",70,1,1,14,129
"Croydon 029A",23,0,0,14,354
"Croydon 029B",23,1,0,7,329
"Croydon 029C",10,1,0,5,346
"Croydon 029D",3,0,0,4,385
"Croydon 029E",37,2,3,14,122
"Croydon 030A",47,0,1,13,149
"Croydon 030B",33,0,0,9,311
"Croydon 030C",14,0,4,8,101
"Croydon 030D",51,0,0,7,270
"Croydon 030E",40,0,0,10,291
"Croydon 031A",62,1,0,14,295
"Croydon 031B",8,2,0,6,325
"Croydon 031C",17,0,1,6,301
"Croydon 031D",19,1,0,15,374
"Croydon 031E",19,0,0,17,375
"Croydon 032A",23,1,0,10,331
"Croydon 032B",37,0,1,15,226
"Croydon 032C",15,0,1,3,321
"Croydon 032D",64,0,3,9,141
"Croydon 032E",59,1,1,17,128
"Croydon 033A",12,0,0,7,367
"Croydon 033B",9,0,0,3,384
"Croydon 033C",9,1,0,8,389
"Croydon 033D",5,0,0,6,387
"Croydon 033E",27,0,0,12,332
"Croydon 034A",14,0,0,8,368
"Croydon 034B",7,0,0,4,385
"Croydon 034C",38,0,2,11,222
"Croydon 034D",13,0,2,12,243
"Croydon 034E",17,2,1,16,186
"Croydon 034F",37,0,0,14,314
"Croydon 034G",10,0,0,4,365
"Croydon 035A",9,0,0,6,366
"Croydon 035B",3,0,0,6,387
"Croydon 035C",7,2,0,10,390
"Croydon 035D",8,0,0,10,391
"Croydon 035E",11,0,0,6,366
"Croydon 036A",118,1,0,13,91
"Croydon 036B",32,1,1,13,227
"Croydon 036C",47,1,2,7,221
"Croydon 036D",45,1,1,9,247
"Croydon 037A",9,1,0,6,346
"Croydon 037B",42,0,0,10,291
"Croydon 037C",49,1,0,7,270
"Croydon 037D",4,0,0,18,396
"Croydon 037E",98,5,3,24,49
"Croydon 037F",14,1,0,15,374
"Croydon 038A",7,0,2,4,281
"Croydon 038B",9,0,0,5,386
"Croydon 038C",8,0,0,7,367
"Croydon 038D",12,0,0,7,367
"Croydon 038E",15,0,0,9,369
"Croydon 039A",13,0,0,16,395
"Croydon 039B",8,0,0,10,391
"Croydon 039C",10,0,0,4,365
"Croydon 040A",3,0,0,9,388
"Croydon 040B",15,0,0,7,348
"Croydon 040C",18,0,0,2,364
"Croydon 040D",26,0,0,12,332
"Croydon 041A",15,0,1,6,301
"Croydon 041B",32,0,0,13,313
"Croydon 041C",65,4,0,21,277
"Croydon 041D",6,0,0,12,392
"Croydon 041E",42,1,0,11,272
"Croydon 042A",41,2,0,7,231
"Croydon 042B",17,0,0,9,350
"Croydon 042C",5,0,0,5,386
"Croydon 042D",17,0,0,10,370
"Croydon 043A",7,0,0,10,391
"Croydon 043B",7,1,0,12,392
"Croydon 043C",25,0,0,6,328
"Croydon 043D",10,0,0,4,365
"Croydon 043E",8,0,0,11,391
"Croydon 044A",25,0,0,10,351
"Croydon 044B",2,0,0,5,386
"Croydon 044C",21,0,0,14,354
"Croydon 044D",20,0,0,11,352
"Croydon 044E",10,0,3,6,262
"Croydon 045A",23,1,2,13,222
"Croydon 045B",21,0,0,12,352
"Croydon 045C",34,0,0,8,310
"Croydon 045D",61,3,0,15,151
"Croydon 045E",111,1,1,15,71
"Dartford 005B",0,0,0,0,381
"Ealing 001A",74,1,1,16,109
"Ealing 001B",92,1,0,16,110
"Ealing 001C",23,2,0,17,235
"Ealing 001D",10,1,0,3,344
"Ealing 001E",30,2,0,15,253
"Ealing 002A",37,0,1,18,148
"Ealing 002B",18,0,1,10,265
"Ealing 002C",51,0,0,18,316
"Ealing 002D",15,1,1,5,302
"Ealing 002E",29,0,0,10,311
"Ealing 003A",6,0,1,7,301
"Ealing 003B",48,2,0,15,294
"Ealing 003C",40,0,0,25,319
"Ealing 003D",36,1,0,10,251
"Ealing 003E",53,0,0,10,271
"Ealing 003F",37,6,1,11,208
"Ealing 004A",31,2,0,21,358
"Ealing 004B",19,0,0,11,352
"Ealing 004C",78,18,1,47,98
"Ealing 004D",46,2,5,31,63
"Ealing 005A",32,1,0,13,313
"Ealing 005B",34,2,0,14,253
"Ealing 005C",23,0,0,11,352
"Ealing 005D",26,1,0,4,326
"Ealing 006A",46,4,0,15,275
"Ealing 006B",102,2,0,14,111
"Ealing 006C",100,7,2,26,29
"Ealing 006D",32,1,0,14,334
"Ealing 006E",49,1,1,17,128
"Ealing 007A",54,10,0,15,155
"Ealing 007B",5,1,0,12,392
"Ealing 007C",30,7,2,28,157
"Ealing 007D",35,3,0,23,359
"Ealing 008A",183,2,1,14,31
"Ealing 008B",37,3,0,12,273
"Ealing 008C",51,4,0,17,276
"Ealing 008D",56,2,3,15,142
"Ealing 008E",37,1,6,12,81
"Ealing 009A",35,0,1,19,148
"Ealing 009B",104,0,3,33,44
"Ealing 009C",130,5,2,15,51
"Ealing 009D",46,0,0,11,291
"Ealing 009E",29,0,1,11,245
"Ealing 010B",40,0,0,13,314
"Ealing 010C",41,0,0,11,291
"Ealing 010D",17,4,0,14,213
"Ealing 010E",12,0,3,9,223
"Ealing 010F",8,2,0,12,390
"Ealing 010G",136,3,2,26,30
"Ealing 011A",31,3,0,51,160
"Ealing 011B",49,1,1,14,149
"Ealing 011C",35,11,1,26,136
"Ealing 011D",39,1,0,18,336
"Ealing 012A",15,0,0,9,369
"Ealing 012B",37,0,0,19,336
"Ealing 012C",196,11,2,28,8
"Ealing 012D",18,1,0,9,350
"Ealing 013A",30,4,0,16,254
"Ealing 013B",9,0,0,2,363
"Ealing 013C",4,0,0,9,388
"Ealing 013D",5,3,0,10,212
"Ealing 014A",36,1,0,7,310
"Ealing 014B",64,4,1,23,67
"Ealing 014C",46,1,1,9,247
"Ealing 014D",17,0,0,9,350
"Ealing 014E",12,0,0,5,365
"Ealing 015A",30,3,2,15,202
"Ealing 015B",86,10,3,31,137
"Ealing 015C",43,4,0,25,237
"Ealing 015D",71,10,0,60,119
"Ealing 015E",130,7,8,130,60
"Ealing 016A",18,16,0,7,134
"Ealing 016B",23,0,0,5,327
"Ealing 016C",63,3,0,22,277
"Ealing 016D",40,1,0,17,336
"Ealing 016E",35,0,0,3,307
"Ealing 016F",15,0,1,4,321
"Ealing 017A",55,0,0,11,271
"Ealing 017B",14,0,0,3,364
"Ealing 017C",29,0,0,5,308
"Ealing 017D",28,2,0,7,211
"Ealing 017E",48,0,1,14,149
"Ealing 018A",22,3,0,10,212
"Ealing 018B",23,1,0,7,329
"Ealing 018C",29,0,0,8,330
"Ealing 018D",52,5,1,24,67
"Ealing 018E",29,1,0,9,310
"Ealing 018F",21,0,0,11,352
"Ealing 019A",169,9,1,17,11
"Ealing 019B",10,1,0,9,389
"Ealing 019C",35,1,0,8,310
"Ealing 019D",12,1,0,20,399
"Ealing 019E",19,3,0,12,233
"Ealing 020A",351,48,4,40,39
"Ealing 020B",8,0,0,8,388
"Ealing 020C",114,23,4,9,55
"Ealing 020D",54,4,1,11,189
"Ealing 020E",16,2,0,11,233
"Ealing 020F",20,2,0,13,233
"Ealing 020G",3,1,0,9,389
"Ealing 020H",16,1,0,21,379
"Ealing 021A",15,1,0,14,373
"Ealing 021B",22,3,1,7,282
"Ealing 021C",29,2,0,22,359
"Ealing 021D",74,2,0,23,278
"Ealing 022A",13,0,0,11,370
"Ealing 022B",22,2,1,9,283
"Ealing 022C",25,1,0,4,326
"Ealing 022D",49,5,0,17,152
"Ealing 023A",25,2,2,14,202
"Ealing 023B",24,0,0,8,330
"Ealing 023C",76,3,1,7,229
"Ealing 023D",26,0,1,8,285
"Ealing 023E",334,8,4,31,13
"Ealing 024A",18,1,0,10,331
"Ealing 024B",43,4,0,34,218
"Ealing 024C",16,0,0,24,380
"Ealing 024D",29,2,0,22,359
"Ealing 024E",70,0,1,18,128
"Ealing 024F",33,11,1,44,138
"Ealing 025A",21,4,1,22,166
"Ealing 025B",20,2,1,10,283
"Ealing 025C",213,8,2,23,33
"Ealing 025D",107,2,1,13,71
"Ealing 025E",232,9,2,12,32
"Ealing 026A",31,2,3,13,223
"Ealing 026B",251,1,3,11,33
"Ealing 026C",61,0,0,11,250
"Ealing 026D",31,1,2,9,241
"Ealing 026E",56,2,1,6,248
"Ealing 026F",104,1,1,16,89
"Ealing 027A",36,16,0,37,117
"Ealing 027B",83,7,0,37,27
"Ealing 027C",9,1,0,10,390
"Ealing 027D",11,1,0,9,389
"Ealing 027E",51,4,3,27,64
"Ealing 028A",293,10,4,22,13
"Ealing 028B",107,4,1,22,70
"Ealing 028C",18,0,0,18,376
"Ealing 028D",37,3,0,16,275
"Ealing 028E",90,2,1,20,89
"Ealing 028F",107,6,2,17,72
"Ealing 029A",48,0,0,11,271
"Ealing 029B",48,1,2,10,201
"Ealing 029C",60,0,1,18,128
"Ealing 029D",109,6,0,17,112
"Ealing 029E",75,6,2,31,45
"Ealing 029F",74,3,1,16,109
"Ealing 029G",40,0,0,10,291
"Ealing 030A",67,0,1,11,129
"Ealing 030B",89,11,1,17,113
"Ealing 030C",24,1,0,20,378
"Ealing 030D",55,3,0,8,210
"Ealing 031A",47,1,0,7,290
"Ealing 031B",21,5,3,16,122
"Ealing 031C",36,0,0,16,335
"Ealing 031D",25,8,2,31,157
"Ealing 031E",22,5,0,34,198
"Ealing 031F",92,7,1,31,28
"Ealing 032A",8,2,0,16,234
"Ealing 032B",17,0,0,9,350
"Ealing 032C",9,2,0,8,389
"Ealing 032D",24,5,0,25,216
"Ealing 032E",66,7,1,31,46
"Ealing 033A",29,2,1,7,282
"Ealing 033B",39,9,2,29,157
"Ealing 033C",74,2,1,7,229
"Ealing 033D",58,1,1,5,248
"Ealing 033E",26,1,1,20,165
"Ealing 034A",28,2,0,40,200
"Ealing 034B",14,0,0,22,400
"Ealing 034C",9,5,0,42,179
"Ealing 034D",29,5,1,56,140
"Ealing 035A",24,3,0,21,236
"Ealing 035B",13,4,0,19,215
"Ealing 035C",21,1,0,15,374
"Ealing 035D",17,5,0,8,192
"Ealing 037A",45,0,0,20,317
"Ealing 037B",17,5,0,15,194
"Ealing 037C",22,0,0,9,330
"Ealing 037D",163,0,1,33,9
"Ealing 037E",93,2,3,26,49
"Ealing 037F",102,1,1,23,70
"Ealing 037G",60,3,0,12,170
"Ealing 038A",86,6,2,23,48
"Ealing 038B",76,2,1,26,67
"Ealing 038C",37,0,1,18,148
"Ealing 038D",116,3,2,17,50
"Ealing 039A",12,3,0,18,214
"Ealing 039B",23,0,0,10,351
"Ealing 039C",41,2,0,15,294
"Ealing 039D",12,4,0,11,193
"Ealing 040A",23,5,1,20,166
"Ealing 040B",22,3,0,26,216
"Ealing 040C",31,3,0,21,236
"Ealing 040D",55,5,1,44,180
"Elmbridge 003D",0,0,0,1,362
"Elmbridge 009A",0,0,0,1,362
"Elmbridge 015A",0,0,0,1,362
"Enfield 001A",26,4,1,15,187
"Enfield 001B",30,1,3,17,123
"Enfield 001C",3,0,0,4,385
"Enfield 001D",56,1,1,5,248
"Enfield 002A",21,0,2,9,242
"Enfield 002B",64,3,3,27,64
"Enfield 002C",53,2,1,17,128
"Enfield 002D",29,0,1,18,205
"Enfield 002E",61,0,1,12,149
"Enfield 003B",73,5,3,40,44
"Enfield 003C",90,2,1,12,129
"Enfield 003D",32,2,1,7,267
"Enfield 003E",25,1,2,13,222
"Enfield 003F",47,1,0,9,290
"Enfield 003G",52,4,1,11,189
"Enfield 004A",28,2,0,11,252
"Enfield 004B",46,2,0,20,337
"Enfield 004C",43,3,3,65,120
"Enfield 004D",31,1,0,13,333
"Enfield 004E",17,0,0,10,370
"Enfield 005A",21,1,0,15,374
"Enfield 005B",131,5,1,12,51
"Enfield 005C",110,1,0,20,90
"Enfield 005D",35,1,1,22,126
"Enfield 005E",14,0,0,22,400
"Enfield 006A",71,2,0,20,277
"Enfield 006B",47,3,2,19,183
"Enfield 006C",63,2,4,13,102
"Enfield 006D",132,3,0,35,6
"Enfield 006E",50,1,1,13,169
"Enfield 007A",28,1,1,13,245
"Enfield 007B",18,0,1,19,165
"Enfield 007C",38,1,0,9,310
"Enfield 007D",30,4,0,25,216
