"crimeTypes...1.","anti_social_behaviour","bicycle_theft","possession_of_weapons","vehicle_crime","somModel.unit.classif"
"Barnet 001A",38,1,1,16,226
"Barnet 001B",15,0,1,6,301
"Barnet 001C",136,4,3,26,53
"Barnet 001D",10,0,0,8,368
"Barnet 001E",48,3,2,11,201
"Barnet 001F",56,0,0,8,270
"Barnet 002A",31,2,0,7,211
"Barnet 002B",32,0,0,15,335
"Barnet 002C",33,1,0,12,292
"Barnet 002D",70,2,2,31,65
"Barnet 002E",3,0,1,8,284
"Barnet 003A",26,1,0,21,358
"Barnet 003B",6,0,0,11,391
"Barnet 003C",18,0,0,3,364
"Barnet 003D",13,0,0,15,394
"Barnet 004A",40,1,0,9,290
"Barnet 004B",44,0,0,8,290
"Barnet 004C",10,0,0,13,393
"Barnet 004D",54,1,2,24,144
"Barnet 004E",57,1,1,10,247
"Barnet 004F",35,0,0,6,309
"Barnet 005A",11,0,0,10,370
"Barnet 005B",69,1,0,12,250
"Barnet 005C",37,0,0,7,289
"Barnet 005D",20,1,0,17,377
"Barnet 006A",54,0,1,16,149
"Barnet 006B",94,2,6,17,62
"Barnet 006C",6,2,0,10,390
"Barnet 006D",19,1,2,15,203
"Barnet 006E",34,3,0,26,216
"Barnet 007A",22,0,0,10,351
"Barnet 007B",35,0,0,12,313
"Barnet 007C",20,0,0,15,354
"Barnet 007D",14,0,0,2,364
"Barnet 007E",68,1,2,10,181
"Barnet 007F",26,0,2,23,145
"Barnet 008A",7,1,0,12,392
"Barnet 008B",10,0,0,5,386
"Barnet 008C",18,3,1,8,283
"Barnet 008D",19,1,0,12,353
"Barnet 008E",19,5,1,5,303
"Barnet 009A",8,0,0,10,391
"Barnet 009B",19,0,0,18,376
"Barnet 009C",15,1,1,4,302
"Barnet 009D",18,1,1,5,302
"Barnet 009E",15,0,0,8,368
"Barnet 010A",6,0,0,7,367
"Barnet 010B",25,0,0,8,330
"Barnet 010C",39,1,0,7,290
"Barnet 010D",15,0,0,13,372
"Barnet 010E",35,1,1,20,147
"Barnet 011A",30,0,0,6,309
"Barnet 011B",11,0,0,13,393
"Barnet 011C",25,1,0,10,331
"Barnet 011D",41,1,0,13,293
"Barnet 011E",51,1,0,10,271
"Barnet 012A",17,1,0,16,374
"Barnet 012B",31,3,1,12,207
"Barnet 012C",10,0,1,8,284
"Barnet 012D",132,0,0,8,91
"Barnet 012E",15,2,1,18,186
"Barnet 013A",30,2,1,26,106
"Barnet 013B",43,0,0,11,291
"Barnet 013C",15,1,0,13,373
"Barnet 013D",25,1,0,23,339
"Barnet 013E",21,0,0,16,375
"Barnet 013F",31,0,3,19,123
"Barnet 014A",13,0,0,2,364
"Barnet 014B",22,0,0,10,351
"Barnet 014C",10,0,0,5,386
"Barnet 014D",61,1,1,7,248
"Barnet 014E",11,0,0,5,365
"Barnet 014F",26,0,0,9,330
"Barnet 015A",31,3,0,16,254
"Barnet 015B",26,0,0,17,356
"Barnet 015C",47,3,0,17,275
"Barnet 015D",41,2,0,12,273
"Barnet 015E",35,0,0,18,336
"Barnet 015F",27,0,0,11,312
"Barnet 016A",23,0,0,18,376
"Barnet 016B",65,1,2,21,69
"Barnet 016C",12,0,0,7,367
"Barnet 016D",52,4,0,30,239
"Barnet 017A",11,1,0,27,340
"Barnet 017B",59,1,0,25,298
"Barnet 017C",15,0,0,8,368
"Barnet 017D",28,0,0,29,320
"Barnet 018A",115,0,1,12,71
"Barnet 018B",118,4,0,49,5
"Barnet 018C",69,5,0,57,139
"Barnet 018D",27,0,1,18,205
"Barnet 018E",12,0,0,10,370
"Barnet 019A",183,8,2,11,32
"Barnet 019B",17,0,1,10,265
"Barnet 019C",34,3,0,14,274
"Barnet 019D",40,2,0,21,337
"Barnet 019E",68,0,0,10,250
"Barnet 019F",20,1,0,18,377
"Barnet 020A",7,0,0,9,388
"Barnet 020B",13,0,1,8,284
"Barnet 020C",21,0,1,8,285
"Barnet 020D",14,2,0,22,379
"Barnet 020E",30,2,0,23,359
"Barnet 021A",21,1,1,14,225
"Barnet 021B",7,1,2,6,281
"Barnet 021C",14,0,0,1,364
"Barnet 021D",36,0,0,17,335
"Barnet 021E",95,0,0,12,110
"Barnet 022A",18,0,0,14,354
"Barnet 022B",19,0,0,19,376
"Barnet 022C",34,0,1,26,125
"Barnet 022D",35,3,1,45,180
"Barnet 022E",31,0,0,22,338
"Barnet 022F",34,0,1,23,126
