"","anti_social_behaviour","bicycle_theft","burglary","criminal_damage_and_arson","drugs","other_crime","other_theft","possession_of_weapons","public_order","robbery","shoplifting","theft_from_the_person","vehicle_crime","violence_and_sexual_offences"
"V1",0.585442650725395,0.173384226271057,0.854936647123939,2.05288594367168,0.375918352534636,0.120305166738517,0.133374492219118,0.156013279778663,0.623025497241132,0.256061871099303,0.12046036161253,-0.0914518256104961,1.4152876857041,0.957193689730931
"V2",0.129034495526159,-0.160431727427292,0.21217638593689,0.164875054042509,-0.0779480096453501,0.0387491197136459,1.6687418870379,-0.149030710804117,0.0745310090174741,-0.040989257879401,0.253686683175333,-0.0744846902401208,0.416721607709955,0.0788009329152669
"V3",-0.149188784392122,-0.290609519833083,-0.305526193266787,1.00006480700733,-0.17428505036578,-0.0330836864066242,-0.20824614236708,-0.0865997158821979,-0.116028158505765,-0.270790759770442,-0.180864755865093,-0.195861111691641,-0.244580611003029,0.0411490947455466
"V4",-0.310630640203331,-0.29864240524813,-0.426023463196822,-0.13527148903696,-0.261098685011297,-0.0540254566676137,-0.228226239096601,-0.298669513662771,-0.34396695296366,-0.271001532910649,-0.213961000058828,-0.188345650078273,0.0629366407256015,-0.208494914932617
"V5",-0.354689305060549,-0.361164327238304,-0.570977170889731,0.0770639272815442,-0.34409097834344,-0.0752218033033174,-0.261184310009249,-0.355694987316545,-0.33120657398227,-0.397026920535517,-0.201743974857334,-0.203932810891669,-0.642331839453459,-0.320208040943071
"V6",-0.458938897093497,-0.336998724019465,-0.672410848222023,-0.684832718585997,-0.395855916579523,-0.105527159011121,-0.261959650693238,-0.319237466537099,-0.521469200353595,-0.405143721425509,-0.223088873828704,-0.20784518069373,-0.181023656232984,-0.52561967440831
"V7",-0.535757232782278,-0.390740497704365,-0.712801632061464,-0.713149899347662,-0.460264586149427,-0.118203091166839,-0.309919249736879,-0.35581092494732,-0.533264835999465,-0.492551019674215,-0.228907265803098,-0.218085354365461,-0.849249497128899,-0.601751717395922
"V8",-0.777986731567948,-0.460889312450084,-1.19482579359572,-1.08972702316991,-0.547529419750812,-0.14709578492699,-0.379831215455302,-0.409136888845581,-0.692265158831869,-0.571073590353042,-0.245764918791976,-0.234073376206432,-1.23475247802555,-0.901836176458917
"V9",0.379326837120226,0.596006641291963,0.303772095111373,2.69030240907737,0.620389255683095,0.746807273780934,0.484700915270475,0.543593940475921,1.74245373954264,0.383908697385477,0.148521281179041,0.0186410753700308,0.256076814107706,2.99191091516076
"V10",0.0814600764135919,0.0950123495122936,0.182567652591942,0.378728778331876,0.254229433867047,0.160554427787512,0.198903129228343,1.12723581802604,0.490556382573017,0.149016584183593,0.115347772917439,-0.0494104830663276,1.09662111331167,0.428187880339916
"V11",0.760337299503552,0.00873480510247401,-0.0904119071024632,0.78294578954493,0.594651622222634,0.0390382881597242,-0.023350607888268,0.45441169689637,0.416280391797664,0.315455750468236,-0.103706168525728,-0.0559007871338964,0.226700642135066,0.63713706722666
"V12",-0.260853509585634,-0.31496094582464,-0.582046722465699,-0.355098284798082,-0.110291669947658,-0.0583351755052094,-0.234731153715812,0.759983504156738,-0.229645868545499,-0.176810965481304,-0.208163602060813,-0.17715343503937,-0.575315311278711,-0.189036128468831
"V13",0.0171628591449808,-0.248873541517076,-0.495527494054137,0.026679789304016,-0.0941936027087803,-0.00663263248226671,-0.150161844431213,-0.238868392675251,0.0785185068866638,-0.205247971231336,-0.0948474045958649,-0.155920946652087,-0.363189065236176,0.120741155396564
"V14",-0.298692112324918,0.631601197260568,-0.238535792284299,-0.397859763496371,-0.263087604179422,-0.0654559576185886,-0.0767557516211599,-0.32699118403355,-0.242457752665572,-0.232404300568663,-0.144160931980153,-0.066365443617543,-0.147604695297098,-0.400564829140387
"V15",-0.311437350943947,-0.272895493493845,-0.53082250172147,-0.505826664851215,-0.271483565325365,-0.0822881434465655,-0.209749980301217,-0.233116409348539,-0.329182696479327,-0.132965150986953,-0.16243504419725,-0.168339186906501,-0.6698365704141,-0.33537768550117
"V16",-0.531781223953537,-0.410998235218113,-0.0274743712041249,-0.768546646017459,-0.449986628981469,-0.118338372851157,-0.294856602832553,-0.353322112183872,-0.553265881205406,-0.449127551922567,-0.216039126613589,-0.214750896317952,-0.668187869875048,-0.608335555887811
"V17",0.966367411804663,1.19367498597371,1.16816924657378,1.42620245182374,1.85941965901526,0.242213922208066,1.08902455035471,2.47243249373071,1.70677853318688,1.48574968837094,0.581839163934419,1.4300364963615,0.699822219381544,1.66305426888002
"V18",0.354408735356389,0.0315173158274516,0.0773637461968057,0.680016221319755,0.893561850549214,0.115496157931863,0.0531896990367558,2.00779011633982,0.591376648249844,0.589046047891378,-0.0109003371593545,0.0625224341304635,0.0127279254125363,0.808465811471658
"V19",-0.123437184006575,-0.133566176325886,0.0885762402528306,0.0213724501773379,0.102357103283625,-0.0197077992223736,-0.14178226603875,0.784019024333782,-0.0186346076482914,-0.0115993185184197,-0.156944205898489,-0.124189550700092,-0.22022697623949,0.0413751482538895
"V20",0.270099572966551,-0.0546225592018233,0.0718804487774171,0.965473146112592,0.0563728245645524,0.320802453533179,0.0829244794516558,-0.100299367040399,0.72746948323297,-0.0249269614737672,0.146405232386817,-0.0809480649919525,0.199270172264818,0.93599285284916
"V21",0.0138850281433,-0.119706350798577,-0.0361112849294624,-0.0586041272041813,0.0435818993847513,-0.0177928051992245,-0.086125250847347,-0.035748213329332,-0.0662240648018722,0.853922074146345,-0.128852507076172,-0.0444900981502804,-0.013227157839614,0.146567063356163
"V22",0.266102807041992,-0.0895072560390369,-0.293734730092163,0.216257626355346,1.91345211870161,0.0431481836279191,-0.0895386782791831,0.181725705826466,0.274409495808802,-0.0111070764904525,-0.173236179871409,-0.0794001304634216,-0.185895825743543,0.246458348057969
"V23",0.943279437004829,-0.0799179566306887,-0.154871130475975,-0.368860615698464,-0.106596238937853,-0.0444293184252003,-0.134523686613307,-0.201910865374784,-0.116982925527227,0.00474718598298467,-0.158987335335413,-0.0898318639756905,-0.377378629668193,-0.13437920832536
"V24",-0.390438221660994,-0.343652501880984,0.68061065721432,-0.558822259833598,-0.368449004649456,-0.0878317988623292,-0.223665300082628,-0.327280225081056,-0.433266434271745,-0.366360883302318,-0.220248787335346,-0.198229448769569,-0.430944911270389,-0.44914396822235
"V25",2.3439373746082,3.43495610142738,2.94475941425552,1.42075397181844,1.15770501547284,0.378925814421466,2.97860069738476,18.6617316711797,1.71612730947992,1.4796238290023,0.144324868781017,3.90510754060125,1.59086169775613,1.46933230424067
