"","anti_social_behaviour","bicycle_theft","burglary","criminal_damage_and_arson","drugs","other_crime","other_theft","possession_of_weapons","public_order","robbery","shoplifting","theft_from_the_person","vehicle_crime","violence_and_sexual_offences"
"V1",2.72877079134076,2.06634015988897,1.45572779957978,3.42414730367366,3.11987786203706,0.602510204064928,2.44024616510011,2.13633600117712,3.99366057128632,2.60493683224891,6.27266725248349,2.4148160840087,1.57757080804753,3.31544666721338
"V2",1.57027918684024,1.20189546157634,0.771486530960953,1.8467146247827,3.5687475143397,0.242462059430897,0.952451119607061,2.69968728298117,2.15933666466617,1.50554178872257,0.587740614679929,0.924322393518694,0.738825082978368,1.95411733485249
"V3",-0.374227276611046,-0.278931959279543,-0.29000229269574,-0.516493155074504,-0.34083581531738,-0.083678272604167,-0.250080941330009,-0.300029737729527,-0.408241120134485,-0.381019197866305,-0.209492067823521,-0.19298054256039,-0.386153427911563,-0.451233678470774
"V4",-0.709541919362903,-0.427910637906689,-1.01940304133876,-0.955959894765807,-0.506836804968835,-0.134751920577727,-0.353472032966686,-0.38623888562371,-0.635086249982015,-0.517274566175222,-0.231489790354975,-0.225066801817549,-1.08858263147696,-0.804718936440738
"V5",1.68814928691897,3.29843597619636,2.36908470296365,1.25885918218964,0.978204907314428,0.19959933102121,1.53551477628855,0.786374760752559,1.66397705612892,1.64796401275878,0.815014516225842,1.72105755406106,1.28605284142366,1.4153892337707
"V6",6.79115136872333,10.2349607829942,9.18781407378965,4.27987088238445,2.40755531173859,0.982473494739689,10.4443557322871,2.66129165928469,5.19666900150439,7.65793988838372,7.91769091247906,11.8475670123214,7.18465395237664,6.0251367066403
"V7",1.27709562387497,0.71238152408761,0.797358706916277,1.74757359906238,0.834558836141727,0.238675696679449,0.596417286427132,0.632307538572821,1.74940951451275,1.15754588327677,1.07898774147449,0.360752230532476,0.718154966428888,1.78042254332198
"V8",0.560732768425577,0.263668934420568,0.385035710588801,0.716073226576109,0.489716115401792,0.0822066682233693,0.165613306370937,0.436133130551557,0.461351784496685,0.398954299869344,0.081258430483001,0.0968602641834932,0.412254995572496,0.589669226332957
"V9",5.60757833836015,5.84854072727387,2.92142955112823,7.61106543916994,11.240889352612,1.62323253694902,4.88176977712968,5.24386342073768,8.59145532616446,7.05380491404899,7.97002278819653,5.39118015304799,1.96583823592754,8.28970704914062
"V10",3.77765803126636,3.44949211569948,3.6941799603975,2.45649349001418,1.40084687685821,0.603003140113264,3.94615171171562,23.1501596305243,2.62667411660799,2.11173483576399,0.299261073908114,5.80055200315892,1.96351351590407,2.31832342777054
"V11",3.5504147832913,5.61512120371593,5.024229708685,2.51290427024815,3.1938088492653,0.584423282490159,5.52550584755872,2.24606193880938,3.57498987960628,3.73518801426716,1.62072211762176,5.16809712251275,2.53533197755968,3.26761772972643
"V12",0.0264690499002363,-0.194233931304836,-0.182112165644682,0.161821314201356,-0.101439626638371,-0.0228804963443444,-0.0921697858403849,0.00206540718629532,-0.0697857338841701,-0.0895849346153225,-0.13784237562472,-0.137887036559777,-0.204577148890643,0.0660648051842469
"V13",16.4837939258144,0.327345209656172,1.7540495352305,6.99759060535901,4.73243237370742,68.711152886566,15.1146201184193,7.30102820422716,9.31377299517954,-0.41376466146156,4.0616525712477,2.02958773424478,6.1884668742796,6.38643544810134
"V14",14.8068286014759,12.1856241818933,13.0993278113905,9.40642225546867,13.1200188851714,3.66108659371328,21.5635225366158,6.95517237296156,13.6712059121806,16.0142788311584,13.834607368345,21.4511181929621,5.77794903698259,14.88914495741
"V15",0.490232340680389,0.380031190605316,1.08599885960169,0.898633184866963,0.242335653325077,0.091797942510374,0.468807629475311,0.130856381863748,0.455245699603908,0.544451935319613,0.21452504231903,0.0670838585101265,2.57537491513816,0.489388966902798
"V16",-0.15415736681108,0.0146988860924607,0.348395130041279,-0.234682461849792,-0.204507015672966,-0.0370201781567278,-0.0860473002972607,-0.227474034516305,-0.191398118846971,-0.15372950189261,-0.144787762984093,-0.128521350268734,0.72253922337379,-0.207358030265293
