"","anti_social_behaviour","bicycle_theft","burglary","criminal_damage_and_arson","drugs","other_crime","other_theft","possession_of_weapons","public_order","robbery","shoplifting","theft_from_the_person","vehicle_crime","violence_and_sexual_offences"
"V1",12.7156178464242,12.3776333550397,11.9081449057227,8.65948868329615,11.4828271988423,3.05464330074534,19.162894241201,7.57418262730737,12.7063347899429,16.5089216544742,12.4910759150643,19.9433458560891,6.0380349882238,14.0564241534323
"V2",4.13203687234213,4.0034894724166,4.40535749596488,2.71732933826124,1.52205352828988,0.610482377447432,4.70343420372905,21.148368984941,2.87121066531521,2.66127760099371,0.852471320739428,6.01168269662749,3.01537543143036,2.65457156245806
"V3",2.20268443687753,1.80276706378579,2.54598003247704,3.19708439068151,1.98559561556998,0.380049584280172,2.58258060580164,1.20275742185659,2.10049782784945,1.63335314890839,2.36671695413313,1.36505369766868,6.61197281547925,2.45999905594637
"V4",0.678350082288089,0.629323495990836,0.238327770951614,1.05150411119867,0.361586294935847,0.108186969308656,1.24392636450957,0.245769021991519,0.694503444630963,0.609060410961407,1.16592300687652,0.142806655475277,4.69164040255383,0.450308178439343
"V5",0.126957357935782,0.306986681365381,0.852146358080175,0.136852271535406,-0.108691700824039,0.000534786917758149,0.121399246467068,0.0851618240623397,0.190136567804916,0.183029647798176,-0.0793053960410546,-0.00426451291342462,3.497858692226,0.0618492129063342
"V6",-0.116528617596981,0.0441900146440011,0.198167623108589,-0.0547755209517696,-0.114855496957039,-0.0409724135589287,-0.0287658106218134,-0.201564555651978,-0.216304071678601,0.0600584026690889,-0.160043595884622,-0.126521070520487,2.2625394706877,-0.23160287656979
"V7",-0.233391655720874,1.07654623614865,0.332945165641462,-0.241369549764667,-0.179355496041662,-0.0659639858142897,-0.065832581500663,-0.174442525261235,-0.11355044769089,-0.233939806937648,-0.127658160650473,-0.124383091795542,0.865118676930344,-0.28351384151549
"V8",-0.332113281465573,-0.070018002324813,-0.194588207878415,-0.339924313626309,-0.292560783064583,-0.10363113226844,-0.143933376215055,-0.379766369376888,-0.315902768127037,-0.294046573994246,-0.194421135712706,-0.133510828275201,1.42226171507413,-0.485671461395118
"V9",-0.0259489364997297,-0.227175829574145,-0.286109420796524,-0.1463629629669,-0.0817337146787095,-0.0215191108529595,-0.160078354272078,-0.0973380309173156,-0.198038447026971,0.273203430395519,-0.20001834931299,-0.0996490940114125,0.092080135071201,0.029513642884334
"V10",-0.150539107123512,-0.293070578669877,-0.663615643249055,-0.578282918268739,-0.264590130438739,-0.0553797871107927,-0.231820151293099,-0.216200735288359,-0.366100564339709,-0.297144421655154,-0.222810938161981,-0.190306721799442,-0.00998007076599576,-0.257319837705656
